athlete_id;comp_id;cat;rank;points
CRO00021;WC2018CRO;M;1;104
CZE00013;WC2018CRO;M;2;84
CRO00030;WC2018CRO;M;3;64
CRO00025;WC2018CRO;M;4;43
RUS00051;WC2018CRO;M;5;33
RUS00063;WC2018CRO;M;6;29
RUS00064;WC2018CRO;M;7;19
CRO00011;WC2018CRO;M;8;17
CRO00039;WC2018CRO;M;9;14
RUS00066;WC2018CRO;M;10;14
CRO00036;WC2018CRO;M;11;11
RUS00057;WC2018CRO;M;12;8
CRO00041;WC2018CRO;M;13;6
GER00054;WC2018CRO;M;14;6
CZE00039;WC2018CRO;M;15;6
CRO00044;WC2018CRO;M;16;6
CZE00006;WC2018CRO;M;17;0
RUS00065;WC2018CRO;M;18;0
CZE00032;WC2018CRO;M;19;0
CRO00070;WC2018CRO;M;20;0
GER00086;WC2018CRO;M;21;0
GER00089;WC2018CRO;M;22;0
CRO00028;WC2018CRO;W;1;102
CRO00004;WC2018CRO;W;2;72
CRO00007;WC2018CRO;W;3;64
CRO00042;WC2018CRO;W;4;54
CRO00066;WC2018CRO;W;5;31
CRO00046;WC2018CRO;W;6;23
CZE00027;WC2018CRO;W;7;20
RUS00052;WC2018CRO;W;8;15
CRO00043;WC2018CRO;W;9;14
CZE00030;WC2018CRO;W;10;9
CRO00065;WC2018CRO;W;11;7
CZE00029;WC2018CRO;W;12;5
CRO00071;WC2018CRO;W;13;4
GER00053;WC2018CRO;W;14;4
CRO00021;ECH2018EST;M;1;249
CRO00025;ECH2018EST;M;2;188
CRO00030;ECH2018EST;M;3;125
CZE00013;ECH2018EST;M;4;104,5
FRA00033;ECH2018EST;M;5;68,5
GER00017;ECH2018EST;M;6;68,5
FRA00025;ECH2018EST;M;7;61
GER00034;ECH2018EST;M;8;41,5
CRO00036;ECH2018EST;M;9;40,5
RUS00051;ECH2018EST;M;10;39,5
RUS00066;ECH2018EST;M;11;32,5
RUS00064;ECH2018EST;M;12;32
RUS00063;ECH2018EST;M;13;29
FRA00046;ECH2018EST;M;14;19
CRO00011;ECH2018EST;M;15;17
EST00020;ECH2018EST;M;16;16
CRO00039;ECH2018EST;M;17;14
FRA00055;ECH2018EST;M;18;14
RUS00057;ECH2018EST;M;19;8
GER00055;ECH2018EST;M;20;6,5
GER00075;ECH2018EST;M;21;6,5
RUS00053;ECH2018EST;M;22;6,5
FRA00035;ECH2018EST;M;23;6,5
FRA00052;ECH2018EST;M;24;6,5
CRO00041;ECH2018EST;M;25;6
CZE00039;ECH2018EST;M;26;6
GER00054;ECH2018EST;M;27;6
CRO00044;ECH2018EST;M;28;6
GER00048;ECH2018EST;M;29;0
FRA00049;ECH2018EST;M;30;0
FRA00051;ECH2018EST;M;31;0
FRA00057;ECH2018EST;M;32;0
AUT00012;ECH2018EST;M;33;0
GER00003;ECH2018EST;M;34;0
EST00031;ECH2018EST;M;35;0
FRA00020;ECH2018EST;M;36;0
AUT00006;ECH2018EST;M;37;0
SUI00007;ECH2018EST;M;38;0
GER00035;ECH2018EST;M;39;0
FIN00030;ECH2018EST;M;40;0
RUS00090;ECH2018EST;M;41;0
EST00051;ECH2018EST;M;42;0
FRA00036;ECH2018EST;M;43;0
SUI00022;ECH2018EST;M;44;0
EST00010;ECH2018EST;M;45;0
CZE00031;ECH2018EST;M;46;0
HUN00021;ECH2018EST;M;47;0
EST00032;ECH2018EST;M;48;0
EST00016;ECH2018EST;M;49;0
AUT00018;ECH2018EST;M;50;0
CZE00034;ECH2018EST;M;51;0
FIN00004;ECH2018EST;M;52;0
FIN00053;ECH2018EST;M;53;0
AUT00015;ECH2018EST;M;54;0
HUN00024;ECH2018EST;M;55;0
SWE00011;ECH2018EST;M;56;0
EST00035;ECH2018EST;M;57;0
CZE00032;ECH2018EST;M;58;0
IRL00001;ECH2018EST;M;59;0
EST00050;ECH2018EST;M;60;0
EST00052;ECH2018EST;M;61;0
CZE00006;ECH2018EST;M;62;0
RUS00065;ECH2018EST;M;63;0
CRO00070;ECH2018EST;M;64;0
GER00086;ECH2018EST;M;65;0
GER00089;ECH2018EST;M;66;0
CRO00028;ECH2018EST;W;1;241
CRO00007;ECH2018EST;W;2;134
GER00026;ECH2018EST;W;3;124
CRO00004;ECH2018EST;W;4;122,5
CRO00042;ECH2018EST;W;5;101,5
GER00061;ECH2018EST;W;6;89,5
FRA00044;ECH2018EST;W;7;31
CRO00066;ECH2018EST;W;8;31
RUS00018;ECH2018EST;W;9;26,5
FRA00027;ECH2018EST;W;10;23,5
RUS00052;ECH2018EST;W;11;23,5
CZE00027;ECH2018EST;W;12;23,5
CRO00046;ECH2018EST;W;13;23
CRO00043;ECH2018EST;W;14;22,5
RUS00043;ECH2018EST;W;15;14,5
CZE00030;ECH2018EST;W;16;9
CZE00029;ECH2018EST;W;17;8,5
RUS00056;ECH2018EST;W;18;7
GER00037;ECH2018EST;W;19;7
CRO00065;ECH2018EST;W;20;7
FRA00040;ECH2018EST;W;21;6,5
CRO00071;ECH2018EST;W;22;4
GER00053;ECH2018EST;W;23;4
CZE00038;ECH2018EST;W;24;3,5
EST00008;ECH2018EST;W;25;0
HUN00026;ECH2018EST;W;26;0
HUN00008;ECH2018EST;W;27;0
HUN00007;ECH2018EST;W;28;0
EST00037;ECH2018EST;W;29;0
FIN00038;ECH2018EST;W;30;0
EST00048;ECH2018EST;W;31;0
CRO00021;WC2018CZE;M;1;249
CRO00030;WC2018CZE;M;2;203
CRO00025;WC2018CZE;M;3;188
CZE00013;WC2018CZE;M;4;144,5
CRO00036;WC2018CZE;M;5;126,5
RUS00051;WC2018CZE;M;6;125,5
FRA00033;WC2018CZE;M;7;68,5
GER00017;WC2018CZE;M;8;68,5
FRA00025;WC2018CZE;M;9;61
RUS00064;WC2018CZE;M;10;58
RUS00053;WC2018CZE;M;11;54,5
RUS00063;WC2018CZE;M;12;48
RUS00066;WC2018CZE;M;13;44,5
GER00034;WC2018CZE;M;14;41,5
RUS00057;WC2018CZE;M;15;34
CRO00011;WC2018CZE;M;16;31
CRO00039;WC2018CZE;M;17;22
CZE00028;WC2018CZE;M;18;21
FRA00046;WC2018CZE;M;19;19
EST00020;WC2018CZE;M;20;16
FRA00055;WC2018CZE;M;21;14
HUN00019;WC2018CZE;M;22;8
CZE00031;WC2018CZE;M;23;8
HUN00021;WC2018CZE;M;24;8
GER00055;WC2018CZE;M;25;6,5
GER00075;WC2018CZE;M;26;6,5
FRA00035;WC2018CZE;M;27;6,5
FRA00052;WC2018CZE;M;28;6,5
CZE00039;WC2018CZE;M;29;6
CRO00041;WC2018CZE;M;30;6
GER00054;WC2018CZE;M;31;6
CRO00044;WC2018CZE;M;32;6
CZE00034;WC2018CZE;M;33;4
CZE00059;WC2018CZE;M;34;4
CZE00026;WC2018CZE;M;35;0
CZE00060;WC2018CZE;M;36;0
CZE00006;WC2018CZE;M;37;0
CZE00044;WC2018CZE;M;38;0
HUN00024;WC2018CZE;M;39;0
CZE00061;WC2018CZE;M;40;0
CZE00062;WC2018CZE;M;41;0
CZE00032;WC2018CZE;M;42;0
GER00086;WC2018CZE;M;43;0
HUN00041;WC2018CZE;M;44;0
GER00048;WC2018CZE;M;45;0
FRA00049;WC2018CZE;M;46;0
FRA00051;WC2018CZE;M;47;0
FRA00057;WC2018CZE;M;48;0
AUT00012;WC2018CZE;M;49;0
GER00003;WC2018CZE;M;50;0
EST00031;WC2018CZE;M;51;0
FRA00020;WC2018CZE;M;52;0
AUT00006;WC2018CZE;M;53;0
SUI00007;WC2018CZE;M;54;0
GER00035;WC2018CZE;M;55;0
FIN00030;WC2018CZE;M;56;0
RUS00090;WC2018CZE;M;57;0
EST00051;WC2018CZE;M;58;0
FRA00036;WC2018CZE;M;59;0
SUI00022;WC2018CZE;M;60;0
EST00010;WC2018CZE;M;61;0
EST00032;WC2018CZE;M;62;0
EST00016;WC2018CZE;M;63;0
AUT00018;WC2018CZE;M;64;0
FIN00004;WC2018CZE;M;65;0
FIN00053;WC2018CZE;M;66;0
AUT00015;WC2018CZE;M;67;0
SWE00011;WC2018CZE;M;68;0
EST00035;WC2018CZE;M;69;0
IRL00001;WC2018CZE;M;70;0
EST00050;WC2018CZE;M;71;0
EST00052;WC2018CZE;M;72;0
RUS00065;WC2018CZE;M;73;0
CRO00070;WC2018CZE;M;74;0
GER00089;WC2018CZE;M;75;0
CRO00028;WC2018CZE;W;1;241
CRO00042;WC2018CZE;W;2;203,5
CRO00007;WC2018CZE;W;3;134
GER00026;WC2018CZE;W;4;124
CRO00004;WC2018CZE;W;5;122,5
CRO00066;WC2018CZE;W;6;113
GER00061;WC2018CZE;W;7;89,5
CRO00043;WC2018CZE;W;8;58,5
HUN00025;WC2018CZE;W;9;54
CZE00038;WC2018CZE;W;10;47,5
CZE00027;WC2018CZE;W;11;46,5
CZE00029;WC2018CZE;W;12;36,5
FRA00044;WC2018CZE;W;13;31
RUS00018;WC2018CZE;W;14;26,5
FRA00027;WC2018CZE;W;15;23,5
RUS00052;WC2018CZE;W;16;23,5
CRO00046;WC2018CZE;W;17;23
CZE00030;WC2018CZE;W;18;19
HUN00008;WC2018CZE;W;19;15
RUS00043;WC2018CZE;W;20;14,5
CZE00043;WC2018CZE;W;21;11
GER00053;WC2018CZE;W;22;8
RUS00056;WC2018CZE;W;23;7
GER00037;WC2018CZE;W;24;7
CRO00065;WC2018CZE;W;25;7
FRA00040;WC2018CZE;W;26;6,5
CZE00042;WC2018CZE;W;27;6
CZE00040;WC2018CZE;W;28;5
CZE00024;WC2018CZE;W;29;4
CRO00071;WC2018CZE;W;30;4
EST00008;WC2018CZE;W;31;0
HUN00026;WC2018CZE;W;32;0
HUN00007;WC2018CZE;W;33;0
EST00037;WC2018CZE;W;34;0
FIN00038;WC2018CZE;W;35;0
EST00048;WC2018CZE;W;36;0
CRO00021;WCF2018RUS;M;1;300
CRO00030;WCF2018RUS;M;2;203
CRO00025;WCF2018RUS;M;3;201
CRO00036;WCF2018RUS;M;4;167,5
CZE00013;WCF2018RUS;M;5;148,5
RUS00051;WCF2018RUS;M;6;143,5
RUS00064;WCF2018RUS;M;7;81
RUS00063;WCF2018RUS;M;8;79
FRA00033;WCF2018RUS;M;9;68,5
GER00017;WCF2018RUS;M;10;68,5
FRA00025;WCF2018RUS;M;11;61
RUS00053;WCF2018RUS;M;12;59,5
RUS00066;WCF2018RUS;M;13;46,5
GER00034;WCF2018RUS;M;14;41,5
RUS00057;WCF2018RUS;M;15;36
CRO00011;WCF2018RUS;M;16;31
CZE00028;WCF2018RUS;M;17;24
CRO00039;WCF2018RUS;M;18;22
FRA00046;WCF2018RUS;M;19;19
EST00020;WCF2018RUS;M;20;16
FRA00055;WCF2018RUS;M;21;14
RUS00015;WCF2018RUS;M;22;10
HUN00019;WCF2018RUS;M;23;10
CZE00031;WCF2018RUS;M;24;10
HUN00021;WCF2018RUS;M;25;8
RUS00029;WCF2018RUS;M;26;7
GER00055;WCF2018RUS;M;27;6,5
GER00075;WCF2018RUS;M;28;6,5
FRA00035;WCF2018RUS;M;29;6,5
FRA00052;WCF2018RUS;M;30;6,5
CZE00039;WCF2018RUS;M;31;6
CRO00041;WCF2018RUS;M;32;6
GER00054;WCF2018RUS;M;33;6
CRO00044;WCF2018RUS;M;34;6
CZE00034;WCF2018RUS;M;35;4
CZE00059;WCF2018RUS;M;36;4
RUS00110;WCF2018RUS;M;37;2
CZE00026;WCF2018RUS;M;38;0
CZE00060;WCF2018RUS;M;39;0
CZE00006;WCF2018RUS;M;40;0
CZE00044;WCF2018RUS;M;41;0
HUN00024;WCF2018RUS;M;42;0
CZE00061;WCF2018RUS;M;43;0
CZE00062;WCF2018RUS;M;44;0
CZE00032;WCF2018RUS;M;45;0
GER00086;WCF2018RUS;M;46;0
HUN00041;WCF2018RUS;M;47;0
GER00048;WCF2018RUS;M;48;0
FRA00049;WCF2018RUS;M;49;0
FRA00051;WCF2018RUS;M;50;0
FRA00057;WCF2018RUS;M;51;0
AUT00012;WCF2018RUS;M;52;0
GER00003;WCF2018RUS;M;53;0
EST00031;WCF2018RUS;M;54;0
FRA00020;WCF2018RUS;M;55;0
AUT00006;WCF2018RUS;M;56;0
SUI00007;WCF2018RUS;M;57;0
GER00035;WCF2018RUS;M;58;0
FIN00030;WCF2018RUS;M;59;0
RUS00090;WCF2018RUS;M;60;0
EST00051;WCF2018RUS;M;61;0
FRA00036;WCF2018RUS;M;62;0
SUI00022;WCF2018RUS;M;63;0
EST00010;WCF2018RUS;M;64;0
EST00032;WCF2018RUS;M;65;0
EST00016;WCF2018RUS;M;66;0
AUT00018;WCF2018RUS;M;67;0
FIN00004;WCF2018RUS;M;68;0
FIN00053;WCF2018RUS;M;69;0
AUT00015;WCF2018RUS;M;70;0
SWE00011;WCF2018RUS;M;71;0
EST00035;WCF2018RUS;M;72;0
IRL00001;WCF2018RUS;M;73;0
EST00050;WCF2018RUS;M;74;0
EST00052;WCF2018RUS;M;75;0
RUS00065;WCF2018RUS;M;76;0
CRO00070;WCF2018RUS;M;77;0
GER00089;WCF2018RUS;M;78;0
CRO00028;WCF2018RUS;W;1;282
CRO00042;WCF2018RUS;W;2;226,5
CRO00007;WCF2018RUS;W;3;134
CRO00004;WCF2018RUS;W;4;124,5
GER00026;WCF2018RUS;W;5;124
CRO00066;WCF2018RUS;W;6;113
GER00061;WCF2018RUS;W;7;89,5
RUS00043;WCF2018RUS;W;8;65,5
HUN00025;WCF2018RUS;W;9;61
CRO00043;WCF2018RUS;W;10;58,5
RUS00018;WCF2018RUS;W;11;57,5
CZE00038;WCF2018RUS;W;12;50,5
CZE00027;WCF2018RUS;W;13;48,5
CZE00029;WCF2018RUS;W;14;38,5
FRA00044;WCF2018RUS;W;15;31
RUS00052;WCF2018RUS;W;16;28,5
FRA00027;WCF2018RUS;W;17;23,5
CRO00046;WCF2018RUS;W;18;23
CZE00030;WCF2018RUS;W;19;19
RUS00012;WCF2018RUS;W;20;18
HUN00008;WCF2018RUS;W;21;17
RUS00072;WCF2018RUS;W;22;13
RUS00056;WCF2018RUS;W;23;11
CZE00043;WCF2018RUS;W;24;11
RUS00111;WCF2018RUS;W;25;10
GER00053;WCF2018RUS;W;26;8
GER00037;WCF2018RUS;W;27;7
CRO00065;WCF2018RUS;W;28;7
FRA00040;WCF2018RUS;W;29;6,5
CZE00042;WCF2018RUS;W;30;6
CZE00040;WCF2018RUS;W;31;5
CZE00024;WCF2018RUS;W;32;4
CRO00071;WCF2018RUS;W;33;4
RUS00112;WCF2018RUS;W;34;2
EST00008;WCF2018RUS;W;35;0
HUN00026;WCF2018RUS;W;36;0
HUN00007;WCF2018RUS;W;37;0
EST00037;WCF2018RUS;W;38;0
FIN00038;WCF2018RUS;W;39;0
EST00048;WCF2018RUS;W;40;0
CRO00021;WC2019CRO;M;1;248
CRO00036;WC2019CRO;M;2;198,5
CRO00025;WC2019CRO;M;3;172
CRO00030;WC2019CRO;M;4;163
RUS00051;WC2019CRO;M;5;116,5
FRA00033;WC2019CRO;M;6;68,5
GER00017;WC2019CRO;M;7;68,5
CZE00013;WC2019CRO;M;8;67,5
RUS00064;WC2019CRO;M;9;67
FRA00025;WC2019CRO;M;10;61
RUS00053;WC2019CRO;M;11;59,5
RUS00063;WC2019CRO;M;12;53
GER00034;WC2019CRO;M;13;41,5
RUS00066;WC2019CRO;M;14;35,5
CRO00045;WC2019CRO;M;15;32
RUS00057;WC2019CRO;M;16;31
RUS00029;WC2019CRO;M;17;26
CZE00028;WC2019CRO;M;18;24
CRO00039;WC2019CRO;M;19;19
FRA00046;WC2019CRO;M;20;19
EST00020;WC2019CRO;M;21;16
HUN00019;WC2019CRO;M;22;14
CRO00011;WC2019CRO;M;23;14
FRA00055;WC2019CRO;M;24;14
RUS00015;WC2019CRO;M;25;10
CZE00031;WC2019CRO;M;26;10
CRO00041;WC2019CRO;M;27;8
HUN00021;WC2019CRO;M;28;8
GER00055;WC2019CRO;M;29;6,5
GER00075;WC2019CRO;M;30;6,5
FRA00035;WC2019CRO;M;31;6,5
FRA00052;WC2019CRO;M;32;6,5
CZE00034;WC2019CRO;M;33;4
CZE00059;WC2019CRO;M;34;4
SUI00023;WC2019CRO;M;35;3
RUS00110;WC2019CRO;M;36;2
RUS00070;WC2019CRO;M;37;0
AUT00012;WC2019CRO;M;38;0
SUI00007;WC2019CRO;M;39;0
CZE00039;WC2019CRO;M;40;0
AUT00006;WC2019CRO;M;41;0
CZE00032;WC2019CRO;M;42;0
CZE00026;WC2019CRO;M;43;0
CZE00060;WC2019CRO;M;44;0
CZE00006;WC2019CRO;M;45;0
CZE00044;WC2019CRO;M;46;0
HUN00024;WC2019CRO;M;47;0
CZE00061;WC2019CRO;M;48;0
CZE00062;WC2019CRO;M;49;0
GER00086;WC2019CRO;M;50;0
HUN00041;WC2019CRO;M;51;0
GER00048;WC2019CRO;M;52;0
FRA00049;WC2019CRO;M;53;0
FRA00051;WC2019CRO;M;54;0
FRA00057;WC2019CRO;M;55;0
GER00003;WC2019CRO;M;56;0
EST00031;WC2019CRO;M;57;0
FRA00020;WC2019CRO;M;58;0
GER00035;WC2019CRO;M;59;0
FIN00030;WC2019CRO;M;60;0
RUS00090;WC2019CRO;M;61;0
EST00051;WC2019CRO;M;62;0
FRA00036;WC2019CRO;M;63;0
SUI00022;WC2019CRO;M;64;0
EST00010;WC2019CRO;M;65;0
EST00032;WC2019CRO;M;66;0
EST00016;WC2019CRO;M;67;0
AUT00018;WC2019CRO;M;68;0
FIN00004;WC2019CRO;M;69;0
FIN00053;WC2019CRO;M;70;0
AUT00015;WC2019CRO;M;71;0
SWE00011;WC2019CRO;M;72;0
EST00035;WC2019CRO;M;73;0
IRL00001;WC2019CRO;M;74;0
EST00050;WC2019CRO;M;75;0
EST00052;WC2019CRO;M;76;0
CRO00028;WC2019CRO;W;1;231
CRO00042;WC2019CRO;W;2;195,5
GER00026;WC2019CRO;W;3;124
CRO00066;WC2019CRO;W;4;95
GER00061;WC2019CRO;W;5;89,5
RUS00018;WC2019CRO;W;6;88,5
RUS00043;WC2019CRO;W;7;72,5
CRO00007;WC2019CRO;W;8;70
CRO00043;WC2019CRO;W;9;62,5
HUN00025;WC2019CRO;W;10;61
RUS00052;WC2019CRO;W;11;54,5
CRO00004;WC2019CRO;W;12;52,5
CZE00038;WC2019CRO;W;13;52,5
CZE00029;WC2019CRO;W;14;37,5
CZE00027;WC2019CRO;W;15;31,5
FRA00044;WC2019CRO;W;16;31
FRA00027;WC2019CRO;W;17;23,5
RUS00056;WC2019CRO;W;18;21
RUS00012;WC2019CRO;W;19;18
HUN00008;WC2019CRO;W;20;17
CZE00030;WC2019CRO;W;21;15
CZE00043;WC2019CRO;W;22;13
RUS00072;WC2019CRO;W;23;13
RUS00111;WC2019CRO;W;24;12
CZE00042;WC2019CRO;W;25;8
GER00037;WC2019CRO;W;26;7
FRA00040;WC2019CRO;W;27;6,5
CZE00040;WC2019CRO;W;28;5
GER00053;WC2019CRO;W;29;4
CZE00024;WC2019CRO;W;30;4
RUS00067;WC2019CRO;W;31;2
RUS00112;WC2019CRO;W;32;2
EST00008;WC2019CRO;W;33;0
CRO00046;WC2019CRO;W;34;0
HUN00026;WC2019CRO;W;35;0
HUN00007;WC2019CRO;W;36;0
EST00037;WC2019CRO;W;37;0
FIN00038;WC2019CRO;W;38;0
EST00048;WC2019CRO;W;39;0
CRO00021;WC2019CZE;M;1;302
CRO00036;WC2019CZE;M;2;242,5
CRO00030;WC2019CZE;M;3;184
CRO00025;WC2019CZE;M;4;172
RUS00051;WC2019CZE;M;5;132,5
FRA00033;WC2019CZE;M;6;102,5
CZE00013;WC2019CZE;M;7;93,5
GER00017;WC2019CZE;M;8;68,5
RUS00064;WC2019CZE;M;9;67
FRA00025;WC2019CZE;M;10;61
RUS00053;WC2019CZE;M;11;59,5
RUS00063;WC2019CZE;M;12;53
GER00034;WC2019CZE;M;13;41,5
RUS00066;WC2019CZE;M;14;35,5
RUS00029;WC2019CZE;M;15;34
FRA00046;WC2019CZE;M;16;32
CRO00045;WC2019CZE;M;17;32
RUS00057;WC2019CZE;M;18;31
CRO00039;WC2019CZE;M;19;26
CZE00028;WC2019CZE;M;20;24
FRA00055;WC2019CZE;M;21;19
EST00020;WC2019CZE;M;22;16
HUN00019;WC2019CZE;M;23;14
CRO00011;WC2019CZE;M;24;14
CRO00041;WC2019CZE;M;25;13
FRA00052;WC2019CZE;M;26;11,5
FRA00008;WC2019CZE;M;27;10
RUS00015;WC2019CZE;M;28;10
CZE00031;WC2019CZE;M;29;10
HUN00021;WC2019CZE;M;30;8
GER00055;WC2019CZE;M;31;6,5
GER00075;WC2019CZE;M;32;6,5
FRA00035;WC2019CZE;M;33;6,5
FRA00012;WC2019CZE;M;34;6
FRA00049;WC2019CZE;M;35;5
CRO00044;WC2019CZE;M;36;5
CZE00034;WC2019CZE;M;37;4
CZE00059;WC2019CZE;M;38;4
SUI00023;WC2019CZE;M;39;3
RUS00110;WC2019CZE;M;40;2
FRA00020;WC2019CZE;M;41;0
AUT00018;WC2019CZE;M;42;0
AUT00016;WC2019CZE;M;43;0
CZE00039;WC2019CZE;M;44;0
AUT00032;WC2019CZE;M;45;0
CZE00006;WC2019CZE;M;46;0
CZE00061;WC2019CZE;M;47;0
CZE00060;WC2019CZE;M;48;0
CZE00044;WC2019CZE;M;49;0
CZE00026;WC2019CZE;M;50;0
CZE00032;WC2019CZE;M;51;0
CZE00062;WC2019CZE;M;52;0
CZE00056;WC2019CZE;M;53;0
CZE00132;WC2019CZE;M;54;0
CZE00127;WC2019CZE;M;55;0
CZE00133;WC2019CZE;M;56;0
CZE00095;WC2019CZE;M;57;0
RUS00070;WC2019CZE;M;58;0
AUT00012;WC2019CZE;M;59;0
SUI00007;WC2019CZE;M;60;0
AUT00006;WC2019CZE;M;61;0
HUN00024;WC2019CZE;M;62;0
GER00086;WC2019CZE;M;63;0
HUN00041;WC2019CZE;M;64;0
GER00048;WC2019CZE;M;65;0
FRA00051;WC2019CZE;M;66;0
FRA00057;WC2019CZE;M;67;0
GER00003;WC2019CZE;M;68;0
EST00031;WC2019CZE;M;69;0
GER00035;WC2019CZE;M;70;0
FIN00030;WC2019CZE;M;71;0
RUS00090;WC2019CZE;M;72;0
EST00051;WC2019CZE;M;73;0
FRA00036;WC2019CZE;M;74;0
SUI00022;WC2019CZE;M;75;0
EST00010;WC2019CZE;M;76;0
EST00032;WC2019CZE;M;77;0
EST00016;WC2019CZE;M;78;0
FIN00004;WC2019CZE;M;79;0
FIN00053;WC2019CZE;M;80;0
AUT00015;WC2019CZE;M;81;0
SWE00011;WC2019CZE;M;82;0
EST00035;WC2019CZE;M;83;0
IRL00001;WC2019CZE;M;84;0
EST00050;WC2019CZE;M;85;0
EST00052;WC2019CZE;M;86;0
CRO00028;WC2019CZE;W;1;283
CRO00042;WC2019CZE;W;2;214,5
GER00026;WC2019CZE;W;3;124
RUS00018;WC2019CZE;W;4;112,5
CRO00066;WC2019CZE;W;5;95
CRO00004;WC2019CZE;W;6;94,5
GER00061;WC2019CZE;W;7;90
RUS00052;WC2019CZE;W;8;86,5
RUS00043;WC2019CZE;W;9;75,5
CRO00007;WC2019CZE;W;10;70
CRO00043;WC2019CZE;W;11;65,5
HUN00025;WC2019CZE;W;12;61
CZE00038;WC2019CZE;W;13;52,5
CZE00029;WC2019CZE;W;14;40,5
FRA00044;WC2019CZE;W;15;39
CZE00027;WC2019CZE;W;16;36,5
FRA00027;WC2019CZE;W;17;23,5
CZE00030;WC2019CZE;W;18;21
RUS00056;WC2019CZE;W;19;21
RUS00012;WC2019CZE;W;20;18
HUN00008;WC2019CZE;W;21;17
CZE00043;WC2019CZE;W;22;16
FRA00023;WC2019CZE;W;23;14
RUS00072;WC2019CZE;W;24;13
RUS00111;WC2019CZE;W;25;12
FRA00053;WC2019CZE;W;26;11
CZE00042;WC2019CZE;W;27;11
FRA00040;WC2019CZE;W;28;10,5
GER00037;WC2019CZE;W;29;7
CZE00040;WC2019CZE;W;30;5
CZE00024;WC2019CZE;W;31;4
GER00053;WC2019CZE;W;32;4
RUS00067;WC2019CZE;W;33;2
RUS00112;WC2019CZE;W;34;2
CZE00033;WC2019CZE;W;35;0
CZE00131;WC2019CZE;W;36;0
EST00008;WC2019CZE;W;37;0
CRO00046;WC2019CZE;W;38;0
HUN00026;WC2019CZE;W;39;0
HUN00007;WC2019CZE;W;40;0
EST00037;WC2019CZE;W;41;0
FIN00038;WC2019CZE;W;42;0
EST00048;WC2019CZE;W;43;0
CRO00021;WCH2019RUS;M;1;454
CRO00030;WCH2019RUS;M;2;294
